"","Estimate","StdErr","nLetters.WD_obs","nLetters.WD_fix","RRT.Pred","RRT.Pred.StdErr","RRT.ci_lower","RRT.ci_upper"
"N_LM_1",-8.03,12.25,5.3,5.13,5.85,8.31,-10.43,22.13
"N_PM_1",-6.05,12.28,5.18,5.13,7.83,8.32,-8.47,24.13
"E_LM_1",19.02,9.8,5.31,5.13,13.88,9.35,-4.45,32.2
"E_PM_1",5.37,11.64,5.17,5.13,19.25,9.33,0.96,37.53
"H_LM_1",0.28,13.77,5.31,5.13,14.16,10.42,-6.26,34.57
"H_PM_1",2.02,13.78,5.17,5.13,15.89,10.4,-4.48,36.27
"N_LM_2",20.68,12.61,4.79,5.13,34.56,8.76,17.39,51.74
"N_PM_2",18.46,21.23,3.67,5.13,32.34,19.31,-5.5,70.18
"E_LM_2",28.27,12.02,4.79,5.13,42.14,9.77,23,61.29
"E_PM_2",20.73,20.88,3.67,5.13,34.61,19.77,-4.15,73.36
"H_LM_2",23.64,14.1,4.79,5.13,37.52,10.8,16.35,58.68
"H_PM_2",33.49,22.14,3.67,5.13,47.36,20.31,7.56,87.17
"N_LM_3",8.51,12.89,6.09,5.13,22.39,9.23,4.3,40.48
"N_PM_3",8.43,15.81,4,5.13,22.31,12.96,-3.08,47.7
"E_LM_3",21.29,12.29,6.06,5.13,35.17,10.17,15.24,55.09
"E_PM_3",11.88,15.32,4,5.13,25.76,13.63,-0.96,52.48
"H_LM_3",53.4,14.33,6.08,5.13,67.28,11.16,45.41,89.15
"H_PM_3",26.49,17.01,4,5.13,40.36,14.39,12.16,68.57
