"","Estimate","StdErr","nLetters.WD_obs","nLetters.WD_fix","TRT.Pred","TRT.Pred.StdErr","TRT.ci_lower","TRT.ci_upper"
"N_LM_1",-53.92,20.9,5.3,5.13,196.89,15.74,166.04,227.74
"N_PM_1",-42.96,20.92,5.18,5.13,207.85,15.76,176.97,238.73
"E_LM_1",250.75,17.36,5.31,5.13,250.81,17.36,216.78,284.84
"E_PM_1",1.78,13.52,5.17,5.13,252.59,17.35,218.58,286.6
"H_LM_1",38.23,23.49,5.31,5.13,289.04,19.05,251.71,326.37
"H_PM_1",57.45,23.49,5.17,5.13,308.26,19.04,270.95,345.57
"N_LM_2",-59.1,20.96,4.79,5.13,191.71,15.77,160.8,222.61
"N_PM_2",-43.41,21.58,3.67,5.13,207.4,16.46,175.15,239.66
"E_LM_2",5.27,13.61,4.79,5.13,256.08,17.39,222,290.16
"E_PM_2",-1.35,14.51,3.67,5.13,249.46,17.99,214.2,284.71
"H_LM_2",32.76,23.55,4.79,5.13,283.57,19.07,246.19,320.94
"H_PM_2",77.8,24.08,3.67,5.13,328.61,19.62,290.16,367.06
"N_LM_3",-82.11,21.05,6.09,5.13,168.7,16.03,137.28,200.13
"N_PM_3",-99.49,21.34,4,5.13,151.33,16.18,119.62,183.03
"E_LM_3",-11.25,13.73,6.06,5.13,239.56,17.61,205.04,274.07
"E_PM_3",-60.59,14.15,4,5.13,190.22,17.73,155.47,224.98
"H_LM_3",1.97,23.62,6.08,5.13,252.78,19.28,215,290.56
"H_PM_3",15.68,23.86,4,5.13,266.5,19.38,228.51,304.48
